,type-id,instance-id,timestamp,value
32027,263251,224285,2011-05-27,0.97
32051,263251,224285,2011-05-28,0.98
32075,263251,224285,2011-05-29,0.94
32099,263251,224285,2011-05-30,1.0
32123,263251,224285,2011-05-31,0.54
32147,263251,224285,2011-06-01,0.57
32171,263251,224285,2011-06-02,1.0
32195,263251,224285,2011-06-03,0.48
32219,263251,224285,2011-06-04,0.26
32243,263251,224285,2011-06-05,0.22
32267,263251,224285,2011-06-06,0.89
32291,263251,224285,2011-06-07,1.0
32315,263251,224285,2011-06-08,0.5
32339,263251,224285,2011-06-09,0.67
32363,263251,224285,2011-06-10,0.46
32387,263251,224285,2011-06-11,0.45
32411,263251,224285,2011-06-12,0.54
32435,263251,224285,2011-06-13,0.78
32459,263251,224285,2011-06-14,0.48
32483,263251,224285,2011-06-15,0.52
32507,263251,224285,2011-06-16,0.51
32531,263251,224285,2011-06-17,0.34
32555,263251,224285,2011-06-18,0.42
32579,263251,224285,2011-06-19,0.8
32603,263251,224285,2011-06-20,0.63
32627,263251,224285,2011-06-21,0.39
32651,263251,224285,2011-06-22,0.34
32675,263251,224285,2011-06-23,0.51
32699,263251,224285,2011-06-24,0.42
32723,263251,224285,2011-06-25,0.33
32747,263251,224285,2011-06-26,0.35
32771,263251,224285,2011-06-27,0.27
32795,263251,224285,2011-06-28,0.29
32819,263251,224285,2011-06-29,0.9
32843,263251,224285,2011-06-30,0.62
32867,263251,224285,2011-07-01,0.39
32891,263251,224285,2011-07-02,0.22
32915,263251,224285,2011-07-03,0.39
32939,263251,224285,2011-07-04,0.33
32963,263251,224285,2011-07-05,0.39
32987,263251,224285,2011-07-06,0.22
33011,263251,224285,2011-07-07,0.42
33035,263251,224285,2011-07-08,0.46
33059,263251,224285,2011-07-09,0.2
33083,263251,224285,2011-07-10,0.28
33107,263251,224285,2011-07-11,0.28
33131,263251,224285,2011-07-12,0.34
33155,263251,224285,2011-07-13,0.47
33179,263251,224285,2011-07-14,0.52
33203,263251,224285,2011-07-15,0.31
33227,263251,224285,2011-07-16,0.44
33251,263251,224285,2011-07-17,0.17
33275,263251,224285,2011-07-18,0.25
33299,263251,224285,2011-07-19,0.43
33323,263251,224285,2011-07-20,0.34
33347,263251,224285,2011-07-21,0.35
33371,263251,224285,2011-07-22,0.48
33395,263251,224285,2011-07-23,0.18
33419,263251,224285,2011-07-24,0.16
33443,263251,224285,2011-07-25,0.15
33467,263251,224285,2011-07-26,0.41
33491,263251,224285,2011-07-27,0.27
33515,263251,224285,2011-07-28,0.24
33539,263251,224285,2011-07-29,0.16
33563,263251,224285,2011-07-30,0.22
33587,263251,224285,2011-07-31,0.31
33611,263251,224285,2011-08-01,0.43
33635,263251,224285,2011-08-02,0.24
33659,263251,224285,2011-08-03,0.14
33683,263251,224285,2011-08-04,0.29
33707,263251,224285,2011-08-05,0.29
33731,263251,224285,2011-08-06,0.2
33755,263251,224285,2011-08-07,0.25
33779,263251,224285,2011-08-08,0.22
33803,263251,224285,2011-08-09,0.27
33827,263251,224285,2011-08-10,0.22
33851,263251,224285,2011-08-11,0.27
33875,263251,224285,2011-08-12,0.19
33899,263251,224285,2011-08-13,0.24
33923,263251,224285,2011-08-14,0.12
33947,263251,224285,2011-08-15,0.32
33971,263251,224285,2011-08-16,0.2
33995,263251,224285,2011-08-17,0.15
34019,263251,224285,2011-08-18,0.2
34043,263251,224285,2011-08-19,0.18
34067,263251,224285,2011-08-20,0.15
34091,263251,224285,2011-08-21,0.12
34115,263251,224285,2011-08-22,0.18
34139,263251,224285,2011-08-23,0.25
34163,263251,224285,2011-08-24,0.14
34187,263251,224285,2011-08-25,0.23
34211,263251,224285,2011-08-26,0.18
34235,263251,224285,2011-08-27,0.25
34259,263251,224285,2011-08-28,0.25
34283,263251,224285,2011-08-29,0.26
34307,263251,224285,2011-08-30,0.17
34331,263251,224285,2011-08-31,0.31
34355,263251,224285,2011-09-01,0.16
34379,263251,224285,2011-09-02,0.17
34403,263251,224285,2011-09-03,0.23
34427,263251,224285,2011-09-04,0.12
34451,263251,224285,2011-09-05,0.1
34475,263251,224285,2011-09-06,0.15
34499,263251,224285,2011-09-07,0.17
34523,263251,224285,2011-09-08,0.16
34547,263251,224285,2011-09-09,0.24
34571,263251,224285,2011-09-10,0.18
34595,263251,224285,2011-09-11,0.25
34619,263251,224285,2011-09-12,0.31
34643,263251,224285,2011-09-13,0.31
34667,263251,224285,2011-09-14,0.27
34691,263251,224285,2011-09-15,0.33
34715,263251,224285,2011-09-16,0.51
34739,263251,224285,2011-09-17,0.39
34763,263251,224285,2011-09-18,0.29
34787,263251,224285,2011-09-19,0.33
34811,263251,224285,2011-09-20,0.28
34835,263251,224285,2011-09-21,0.28
34859,263251,224285,2011-09-22,0.15
34883,263251,224285,2011-09-23,0.1
34907,263251,224285,2011-09-24,0.1
34931,263251,224285,2011-09-25,0.27
34955,263251,224285,2011-09-26,0.36
34979,263251,224285,2011-09-27,0.23
35003,263251,224285,2011-09-28,0.43
35027,263251,224285,2011-09-29,0.22
35051,263251,224285,2011-09-30,0.16
35075,263251,224285,2011-10-01,0.26
35099,263251,224285,2011-10-02,0.29
35123,263251,224285,2011-10-03,0.26
35147,263251,224285,2011-10-04,0.85
35171,263251,224285,2011-10-05,0.99
35195,263251,224285,2011-10-06,0.97
35219,263251,224285,2011-10-07,1.0
35243,263251,224285,2011-10-08,0.56
35267,263251,224285,2011-10-09,0.45
35291,263251,224285,2011-10-10,0.77
35315,263251,224285,2011-10-11,0.55
35339,263251,224285,2011-10-12,0.46
35363,263251,224285,2011-10-13,0.24
35387,263251,224285,2011-10-14,0.41
35411,263251,224285,2011-10-15,0.47
35435,263251,224285,2011-10-16,0.55
35459,263251,224285,2011-10-17,0.7
35483,263251,224285,2011-10-18,0.23
35507,263251,224285,2011-10-19,0.4
35531,263251,224285,2011-10-20,0.42
35555,263251,224285,2011-10-21,0.52
35579,263251,224285,2011-10-22,0.51
35603,263251,224285,2011-10-23,0.33
35627,263251,224285,2011-10-24,0.71
35651,263251,224285,2011-10-25,0.35
35675,263251,224285,2011-10-26,0.55
35699,263251,224285,2011-10-27,0.25
35723,263251,224285,2011-10-28,0.16
35747,263251,224285,2011-10-29,0.56
35771,263251,224285,2011-10-30,0.45
35795,263251,224285,2011-10-31,0.86
35819,263251,224285,2011-11-01,0.66
35843,263251,224285,2011-11-02,0.32
35867,263251,224285,2011-11-03,0.21
35891,263251,224285,2011-11-04,0.99
35915,263251,224285,2011-11-05,0.96
35939,263251,224285,2011-11-06,0.95
35963,263251,224285,2011-11-07,0.83
35987,263251,224285,2011-11-08,0.62
36011,263251,224285,2011-11-09,0.36
36035,263251,224285,2011-11-10,0.25
36059,263251,224285,2011-11-11,0.25
36083,263251,224285,2011-11-12,0.64
